Price,Seats
18.9,5.0
21.73,5.0
16.52,5.0
24.37,5.0
21.66,5.0
25.0,5.0
43.0,5.0
24.5,5.0
35.5,5.0
39.84,5.0
24.5,5.0
41.5,5.0
27.0,5.0
32.73,5.0
27.5,5.0
24.200000000000003,5.0
72.94,7.0
67.0,7.0
65.33500000000001,7.0
38.75,4.0
9.92,5.0
11.65,5.0
11.4125,5.0
12.0,5.0
15.535,5.0
18.55,5.0
14.0,5.0
13.95,5.0
21.0,5.0
25.125,5.0
21.33,5.0
6.67,5.0
26.5,5.0
25.744999999999997,5.0
32.1125,5.0
35.42,5.0
37.92,5.0
29.99,5.0
16.5,5.0
17.27,5.0
19.893333333333334,5.0
20.83666666666667,5.0
27.975,5.0
30.37,5.0
37.3,5.0
11.75,5.0
48.0,5.0
26.5,5.0
43.6,5.0
29.5,5.0
30.29,5.0
22.24,5.0
28.5,5.0
29.4,5.0
36.64,5.0
29.0,5.0
17.98,5.0
61.25,5.0
32.57,5.0
3.95,7.0
2.75,5.0
2.25,5.0
2.66,5.0
3.31,5.0
3.54,5.0
2.5,5.0
5.65,5.0
6.645,5.0
8.41,5.0
8.81,5.0
9.25,5.0
7.7,5.0
8.09,5.0
7.69,5.0
8.75,5.0
9.2,5.0
9.99,5.0
11.425,5.0
6.0,5.0
10.9,5.0
11.65,5.0
27.36,7.0
2.5,5.0
6.0,5.0
7.285,5.0
56.8,4.0
3.275,5.0
5.99,5.0
3.15,5.0
4.5,5.0
5.68,5.0
7.8,5.0
8.86,5.0
5.47,5.0
6.7,5.0
8.5,5.0
4.75,5.0
10.79,7.0
8.02,7.0
8.5,7.0
9.432500000000001,7.0
8.0,7.0
3.95,5.0
2.75,5.0
5.99,5.0
3.13,5.0
3.2,5.0
3.95,5.0
3.0,5.0
6.745,5.0
12.45,5.0
11.66,5.0
9.416666666666666,5.0
9.65,5.0
12.235,5.0
12.69,5.0
14.21,5.0
3.935,5.0
5.7,5.0
8.5,5.0
10.07,5.0
5.75,5.0
6.26,5.0
10.575,5.0
8.25,5.0
4.5,5.0
6.3,5.0
5.9,5.0
6.8,5.0
7.25,5.0
6.95,5.0
4.85,5.0
7.9,5.0
8.46,5.0
6.805,5.0
8.4,5.0
8.2,5.0
8.575,5.0
9.594999999999999,5.0
10.5,5.0
9.533333333333333,5.0
12.489999999999998,5.0
12.5,5.0
11.25,5.0
10.625,5.0
11.31,5.0
12.13,5.0
12.31,5.0
11.45,5.0
16.27,5.0
13.25,5.0
7.5,5.0
8.9,5.0
8.85,5.0
9.69,5.0
13.9,5.0
16.35,5.0
7.53,5.0
8.78,5.0
6.28,5.0
5.43,5.0
4.9,5.0
4.25,5.0
5.92,5.0
6.115,5.0
4.4,5.0
5.949999999999999,5.0
5.9275,5.0
6.5,5.0
6.5,5.0
2.25,5.0
4.9125,5.0
5.033333333333333,5.0
6.48,5.0
6.84,5.0
5.5,5.0
4.3,5.0
4.970000000000001,5.0
5.87,5.0
5.85,5.0
6.17,5.0
7.55,5.0
0.7,5.0
17.75,5.0
1.9,5.0
5.9,5.0
5.25,5.0
2.55,5.0
2.9,5.0
5.5,5.0
6.01,5.0
11.5,5.0
10.95,5.0
7.2,5.0
12.85,5.0
4.25,5.0
11.5,5.0
5.77,5.0
7.75,5.0
8.7,5.0
5.25,5.0
7.97,5.0
11.88,5.0
4.25,5.0
4.2,5.0
5.9,5.0
5.0,5.0
5.5,5.0
6.2,5.0
3.67,5.0
8.6,5.0
6.9,5.0
20.0,7.0
38.0,5.0
40.0,5.0
34.5,5.0
52.0,5.0
17.75,5.0
18.75,5.0
20.0,5.0
21.69,5.0
23.91,5.0
18.75,5.0
17.45,5.0
18.27,5.0
15.95,5.0
41.6,7.0
36.75,7.0
41.5,7.0
56.14,7.0
160.0,5.0
42.0,5.0
59.72,5.0
70.66,5.0
64.75,5.0
97.07,5.0
4.3,7.0
6.0,7.0
5.5,7.0
6.136666666666667,7.0
8.14,7.0
4.5,5.0
6.25,6.0
5.5,6.0
6.5,7.0
7.29,7.0
7.57,7.0
9.25,6.0
9.66,6.0
3.7,5.0
3.1,5.0
7.25,5.0
13.0,7.0
17.63,7.0
5.0,7.0
6.15,7.0
4.85,7.0
6.675,7.0
2.615,5.0
3.0,5.0
3.0,5.0
2.8275,5.0
2.35,5.0
3.575,5.0
3.2125,5.0
3.5,5.0
3.615,5.0
6.85,5.0
7.5,5.0
8.85,5.0
9.51,5.0
6.5,5.0
8.4,5.0
8.7,5.0
5.8,5.0
6.37,5.0
7.29,5.0
8.379999999999999,5.0
7.39,5.0
5.74,5.0
3.75,5.0
3.2,5.0
3.5,5.0
3.87,5.0
5.0,5.0
5.25,5.0
4.3,5.0
5.11,5.0
5.63,5.0
8.25,5.0
9.18,5.0
8.2,5.0
9.565,5.0
8.37,5.0
5.5,5.0
9.016666666666667,5.0
8.55,5.0
8.5,5.0
8.3,5.0
2.25,5.0
6.0,5.0
5.9,5.0
4.0,5.0
4.25,5.0
5.225,5.0
5.25,5.0
5.75,5.0
6.67,5.0
2.7,5.0
4.995,5.0
4.65,5.0
8.2,5.0
3.91,5.0
2.25,7.0
3.61,7.0
3.75,7.0
2.9,7.0
2.95,7.0
3.4166666666666665,7.0
4.74,7.0
7.56,7.0
7.613333333333333,7.0
7.7,7.0
8.870000000000001,7.0
8.0,7.0
5.8,7.0
8.5,7.0
9.9,7.0
7.36,5.0
6.03,5.0
5.779999999999999,5.0
6.99,5.0
8.92,5.0
7.94,5.0
5.2,5.0
5.95,5.0
5.65,5.0
4.625,5.0
5.23,5.0
5.22,5.0
6.24,5.0
2.8,5.0
5.1,5.0
7.75,5.0
7.15,5.0
8.61,5.0
8.39,5.0
7.465,5.0
6.5,5.0
8.733333333333334,5.0
9.56,5.0
9.605,5.0
8.905000000000001,5.0
9.656666666666666,5.0
10.49,5.0
11.375,5.0
8.75,5.0
10.088571428571429,5.0
11.0,5.0
2.516666666666667,5.0
3.36,5.0
3.02,5.0
3.13,5.0
1.75,5.0
2.65,5.0
3.3575,5.0
4.32,5.0
3.6,5.0
4.175,5.0
5.34,5.0
2.8,5.0
3.5700000000000003,5.0
4.2,5.0
4.59,5.0
4.45,5.0
3.65,5.0
6.25,5.0
17.25,5.0
39.5,5.0
35.335,5.0
27.435000000000002,5.0
28.259999999999998,5.0
24.5,5.0
21.0,5.0
56.5,5.0
51.39,5.0
78.8,5.0
48.0,4.0
26.76,5.0
23.5,5.0
28.9,5.0
24.46,5.0
45.0,5.0
46.95,5.0
48.5,5.0
50.97,5.0
70.99,5.0
52.5,5.0
56.864999999999995,5.0
62.875,5.0
63.70333333333334,5.0
63.24666666666667,5.0
56.0,7.0
79.0,7.0
38.99,5.0
30.0,5.0
54.0,2.0
83.96,2.0
35.0,5.0
24.77,4.0
23.65,4.0
21.5,4.0
28.95,4.0
22.75,5.0
29.5,5.0
34.0,5.0
31.55,5.0
22.0,4.0
28.5,4.0
35.0,4.0
35.825,4.0
28.0,7.0
12.620000000000001,7.0
13.425,7.0
16.42,7.0
4.25,5.0
4.0,5.0
2.65,5.0
4.6,5.0
6.55,5.0
5.85,5.0
2.5,5.0
4.69,5.0
5.43,5.0
4.0,5.0
5.8,5.0
5.65,5.0
6.25,5.0
5.45,5.0
6.92,5.0
2.02,5.0
8.25,5.0
10.2,5.0
11.92,5.0
6.75,5.0
6.5,5.0
3.0,5.0
3.25,5.0
4.5,5.0
4.345000000000001,5.0
4.745,5.0
4.25,5.0
4.8,5.0
2.55,5.0
3.46,5.0
3.4,5.0
3.8,5.0
2.99,5.0
3.7,5.0
4.08,5.0
5.09,5.0
2.05,5.0
10.5,5.0
4.1,5.0
11.92,5.0
10.5,5.0
8.11,5.0
4.68,5.0
9.66,5.0
27.3,5.0
25.75,5.0
3.75,5.0
7.25,5.0
18.47,5.0
21.54,5.0
15.5,5.0
22.99,5.0
3.7,5.0
5.25,5.0
6.0,5.0
4.0,5.0
13.125,7.0
13.5,7.0
17.85,7.0
9.62,5.0
9.56,5.0
11.25,7.0
3.98,5.0
3.6,5.0
5.11,5.0
5.85,5.0
4.8,5.0
5.88,5.0
6.94,5.0
5.0,5.0
5.0,5.0
6.97,5.0
5.5,5.0
4.6,5.0
3.75,5.0
5.25,5.0
5.0,5.0
5.85,5.0
6.69,5.0
3.95,5.0
5.135,5.0
4.5125,5.0
3.7,5.0
4.52,5.0
4.0,5.0
4.65,5.0
3.9,5.0
4.0,5.0
26.11,5.0
6.5,5.0
7.12,5.0
4.5,5.0
11.5,5.0
4.0,5.0
4.95,5.0
6.22,5.0
10.77,5.0
11.99,5.0
18.0,5.0
17.22,5.0
7.9,5.0
6.71,5.0
5.325,5.0
3.75,5.0
3.9,5.0
4.57,5.0
7.27,5.0
3.85,5.0
22.5,7.0
30.333333333333332,7.0
31.990000000000002,7.0
18.9,7.0
28.85,7.0
35.82,7.0
12.225,7.0
10.64,7.0
13.28,7.0
23.0,7.0
16.5,7.0
16.5,7.0
17.0,8.0
17.11,7.0
17.875,7.0
19.92,7.0
22.2,7.0
17.92,8.0
21.985,8.0
18.375,7.0
18.666666666666668,7.0
18.39,7.0
10.95,7.0
17.0,7.0
18.36,7.0
18.0,7.0
19.563333333333333,7.0
16.975,8.0
18.25,8.0
18.834285714285716,7.0
20.57,7.0
19.92,7.0
24.82,7.0
6.0,5.0
5.75,5.0
6.960000000000001,5.0
7.27,5.0
5.8,5.0
6.75,5.0
6.45,5.0
7.9,5.0
5.5,5.0
5.68,5.0
4.91,5.0
3.6,5.0
3.5,5.0
5.65,5.0
6.295,5.0
6.9,5.0
8.12,5.0
7.4,5.0
7.25,5.0
8.09,5.0
24.9,5.0
3.4,5.0
5.39,5.0
2.9,5.0
8.45,5.0
10.0,5.0
9.675,5.0
9.6,5.0
3.25,5.0
3.59,5.0
3.49,5.0
7.1,5.0
7.64,5.0
3.25,5.0
6.98,5.0
7.7,5.0
21.5,5.0
25.0,5.0
24.0,5.0
